Name,Amount
Adrianna Adams,24.71
Adrianna Thiel,36.14
Adriel Bergnaum,40.13
Adriel Deckow,53.79
Adriel Rogahn,33.4
Adriel Tillman,21.36
Adriel Weber,33.47
Adriel Wiza,17.060000000000002
Adrien Dibbert,32.230000000000004
Adrien Volkman,28.06
Adrien Wilderman,25.43
Adrienne Roob,31.83
Afton Feil,15.399999999999999
Afton Haag,45.83
Afton Legros,29.619999999999997
Afton Mertz,46.18
Afton Sporer,11.440000000000001
Afton Wolf,8.58
Aglae Corkery,2.39
Aglae Kerluke,6.85
Aglae Mann,21.27
Aglae Skiles,24.83
Aglae Steuber,22.509999999999998
Aglae Trantow,58.34
Aglae Tromp,16.19
Agnes Considine,42.83
Agnes Kiehn,35.54
Agnes Nitzsche,47.78
Agnes Schmeler,44.589999999999996
Agnes Schoen,13.1
Agnes Steuber,30.04
Agustin Hirthe,41.83
Agustin Schumm,14.229999999999999
Agustin Tremblay,56.2
Agustin Veum,7.37
Agustina Gerhold,1.57
Agustina Hane,21.06
Agustina Hyatt,25.88
Agustina Upton,57.26
Agustina Volkman,18.58
Agustina Walker,30.23
Ahmad Grant,42.129999999999995
Ahmad Hansen,45.31
Ahmad Jones,15.65
Ahmad Lueilwitz,37.61
Ahmad Nienow,51.46
Ahmad Tillman,20.46
Ahmad Wintheiser,29.9
Ahmed Schiller,77.36
Ahmed Spencer,29.310000000000002
Ahmed Stamm,53.75
Aida Cummings,49.760000000000005
Aida Green,33.72
Aida Tillman,19.84
Aida Toy,22.619999999999997
Aidan Emmerich,16.03
Aidan Kling,32.44
Aiden Gislason,20.99
Aiden Gulgowski,15.72
Aiden Ullrich,2.26
Aileen Koch,4.13
Aileen O'Keefe,26.7
Aileen Waelchi,18.05
Aimee Anderson,7.41
Aimee Mosciski,37.870000000000005
Aimee Runte,20.47
Aisha Bergnaum,52.699999999999996
Aisha Cronin,30.9
Aisha Gusikowski,23.740000000000002
Aiyana Cummings,41.05
Aiyana Lemke,44.34
Aiyana Lockman,18.04
Aiyana Parker,35.4
Aiyana Windler,28.73
Aiyana Wolff,27.84
Akeem Anderson,25.76
Akeem Grant,25.08
Akeem Keeling,65.57
Akeem McLaughlin,36.0
Al Deckow,30.11
Al Hamill,13.11
Al Rath,35.45
Al Raynor,41.94
Alaina Gislason,12.37
Alaina Jacobi,23.37
Alaina Jerde,32.05
Alaina Kub,55.81
Alaina Pouros,41.14
Alaina Stiedemann,33.870000000000005
Alan Goodwin,6.67
Alan Kshlerin,14.39
Alan Marvin,3.92
Alan Mertz,21.669999999999998
Alan Prohaska,29.79
Alan Runolfsdottir,27.17
Alana Crooks,23.23
Alana Hermiston,28.34
Alana Satterfield,16.63
Alanis Corkery,20.86
Alanis Franecki,34.4
Alanis Goodwin,26.62
Alanis Hammes,45.11
Alanis Legros,25.47
Alanis Steuber,27.72
Alanna Kutch,20.12
Alanna Wiza,43.27
Alayna Batz,11.059999999999999
Alayna Wehner,68.18
Alba Dooley,41.2
Alba Friesen,34.57
Alba Leannon,50.76
Alba Rath,33.23
Alba Weber,35.400000000000006
Albert Breitenberg,30.75
Albert Marquardt,20.29
Albert Reichel,52.56
Alberta Koelpin,75.79
Alberta O'Kon,26.94
Alberta Renner,18.490000000000002
Alberta Watsica,17.27
Albertha Legros,19.769999999999996
Albertha Mitchell,12.08
Albertha Pfeffer,23.77
Albertha Stanton,49.09
Alberto Hilll,33.45
Alberto Jast,38.09
Alberto Lehner,20.349999999999998
Alberto Mosciski,23.189999999999998
Alberto Reynolds,59.35
Alberto Watsica,27.24
Albin Gottlieb,37.6
Albin Thiel,29.490000000000002
Albina Effertz,60.42
Albina Franecki,40.92
Albina Kassulke,31.310000000000002
Albina Marks,35.94
Albina Mayer,35.66
Alda Gulgowski,32.19
Alda Heller,2.45
Alda Ortiz,14.33
Alda Sipes,31.13
Alda Steuber,50.44
Alden Baumbach,55.55
Alden Connelly,18.97
Alden Cummings,32.67
Alden Keeling,16.93
Alden Koss,21.599999999999998
Alden Rutherford,15.260000000000002
Alden Stoltenberg,18.66
Alec Dibbert,33.39
Alec Kutch,18.51
Alec Monahan,31.98
Alec O'Keefe,38.85
Aleen Bradtke,47.32
Aleen Gulgowski,31.37
Aleen Hartmann,32.42
Aleen Koss,15.540000000000001
Aleen Kunze,39.54
Aleen Lehner,16.79
Alejandra Erdman,16.950000000000003
Alejandra Heller,11.35
Alejandrin Schiller,23.88
Alejandrin Ziemann,25.129999999999995
Alek Armstrong,38.19
Alek Deckow,45.459999999999994
Alek Hansen,3.08
Alek Wolff,44.2
Alena Hagenes,41.6
Alena Legros,12.81
Alena Pouros,14.55
Alena Waelchi,27.240000000000002
Alessandra Dickinson,23.56
Alessandro Auer,26.0
Alessandro Dach,26.81
Alessandro Fisher,9.77
Alessandro Hodkiewicz,29.740000000000002
Alessia Rau,52.83
Aletha Hilpert,25.16
Aletha Mohr,22.68
Aletha Streich,20.22
Alex Stoltenberg,34.03
Alex Yundt,20.490000000000002
Alexa Lemke,21.47
Alexander Gusikowski,50.88
Alexander Herman,32.309999999999995
Alexander Hermiston,16.33
Alexander Lebsack,29.36
Alexander Shields,18.84
Alexander Waelchi,56.03
Alexandra Bayer,22.65
Alexandra Braun,15.54
Alexandra Smith,35.339999999999996
Alexandre Cremin,9.61
Alexandre Donnelly,18.939999999999998
Alexandre Ledner,30.84
Alexandre Romaguera,43.65
Alexandrea Hauck,30.33
Alexandrea Jenkins,32.03
Alexandrea Quigley,28.17
Alexandrea VonRueden,39.29
Alexandria Reinger,43.97
Alexandria Renner,19.9
Alexandrine Hoppe,38.55
Alexandrine Pfeffer,46.88
Alexandrine Purdy,4.07
Alexandrine Wiza,35.44
Alexandro Hickle,36.18
Alexandro Konopelski,25.62
Alexandro Muller,23.759999999999998
Alexane Christiansen,33.0
Alexane Dietrich,43.3
Alexane Kuhlman,24.86
Alexie Boyer,41.07
Alexie Mante,4.11
Alexis Barrows,26.659999999999997
Alexis Rau,36.9
Alexys Jast,5.83
Alexys Kohler,28.64
Alexzander Bernier,43.26
Alexzander Boyle,7.28
Alexzander Kub,56.36
Alexzander Ullrich,15.940000000000001
Alf Botsford,21.75
Alf Gaylord,29.29
Alf Hoppe,54.63
Alf Hyatt,19.03
Alf Legros,48.96
Alfonso Hilpert,23.63
Alfonso Kemmer,16.92
Alfonso Koelpin,63.26
Alfonzo Lind,34.76
Alfonzo Marquardt,37.03
Alfonzo Orn,38.46
Alfonzo Torphy,41.22
Alfonzo Wolf,21.71
Alford Abshire,23.52
Alford Hilll,37.449999999999996
Alford Ziemann,9.940000000000001
Alfred Considine,26.04
Alfred Murazik,23.93
Alfred O'Kon,40.21
Alfreda McLaughlin,31.439999999999998
Alfreda Thiel,39.3
Alfredo Huels,61.96
Alfredo Keeling,13.6
Alfredo Stehr,14.26
Ali Cartwright,28.94
Ali McClure,14.22
Ali Reichert,50.31
Ali Schulist,30.84
Ali Stamm,6.58
Alia Green,40.11
Alia Jerde,13.18
Alia Treutel,27.9
Alice Lockman,16.17
Alice Robel,27.77
Alicia Brakus,23.689999999999998
Alicia Kiehn,17.060000000000002
Alicia Purdy,41.75
Alisa Wilkinson,24.490000000000002
Alisha Barton,47.9
Alisha Blick,17.18
Alisha Bruen,5.2
Alisha Dicki,26.779999999999998
Alisha Grant,20.74
Alisha Hegmann,23.16
Alisha Mills,31.14
Alisha Price,32.17
Alison Dickens,30.700000000000003
Alison Jacobs,59.730000000000004
Alison Pagac,18.14
Alison Ruecker,49.730000000000004
Alivia Beatty,14.549999999999999
Alivia Conroy,15.22
Alivia Kulas,40.65
Aliya Hayes,74.46
Aliya McLaughlin,11.85
Aliya Rath,30.39
Aliya Schamberger,35.99
Aliya Schuster,18.28
Aliza Cartwright,25.15
Aliza DuBuque,24.5
Aliza Hackett,26.880000000000003
Aliza Von,17.21
Aliza Wiegand,29.2
Alize Lockman,66.7
Allan Schumm,16.02
Allen Deckow,27.14
Allen Goldner,24.22
Allen Hamill,39.58
Allen Kertzmann,32.980000000000004
Allen Kovacek,24.89
Allen Stracke,24.39
Allene Runolfsson,36.45
Allie Ebert,22.17
Allie Hoeger,28.52
Allie Leannon,14.94
Allie Runolfsdottir,26.22
Allison Aufderhar,2.53
Allison Welch,29.39
Allison Wilkinson,25.58
Allison Will,33.59
Ally Flatley,47.08
Ally Herzog,15.18
Ally Johnson,26.8
Ally Raynor,57.77
Ally Schiller,19.45
Ally Walsh,17.96
Alphonso Murphy,34.28
Althea Bashirian,17.310000000000002
Althea Johnson,42.42
Althea Klocko,8.600000000000001
Althea Moen,45.38
Althea O'Hara,25.68
Althea Okuneva,21.28
Althea Prosacco,37.28
Alva Wunsch,15.260000000000002
Alvah Mayer,20.62
Alvah O'Hara,30.55
Alvah Paucek,40.75
Alvena Frami,52.839999999999996
Alvena West,31.08
Alvera Harber,13.64
Alvera Mann,25.02
Alvera Schuster,25.53
Alverta Abernathy,43.519999999999996
Alverta Dare,34.36
Alverta Gutkowski,50.06
Alverta Hilpert,42.82
Alverta Kemmer,20.86
Alverta Lebsack,42.56
Alverta Lindgren,23.5
Alverta Nikolaus,39.84
Alverta Schamberger,2.93
Alvina Hegmann,36.97
Alvina Mertz,20.89
Alvis Fay,41.11
Alvis Gleason,21.37
Alvis Marquardt,9.57
Alvis McLaughlin,62.87
Alvis Smitham,8.88
Alyce Brekke,25.73
Alyce Stoltenberg,48.29
Alyce VonRueden,18.53
Alycia Armstrong,28.96
Alycia Cronin,13.97
Alycia MacGyver,40.99
Alycia Marquardt,25.36
Alysa Beer,18.11
Alysa Block,54.480000000000004
Alysa Bode,39.21
Alysa Dare,9.24
Alysa Price,28.98
Alysa Ratke,54.4
Alysha Keeling,41.04
Alysha Tromp,30.29
Alyson Brown,50.42
Alyson VonRueden,19.42
Alysson Trantow,3.83
Alysson Watsica,30.189999999999998
Alysson Weber,7.550000000000001
Amalia Gibson,34.38
Amalia Hodkiewicz,34.16
Amalia Maggio,40.64
Amalia Rice,13.36
Amalia Steuber,21.11
Amalia Swaniawski,23.259999999999998
Amanda Fahey,55.150000000000006
Amanda Gaylord,9.14
Amanda Gusikowski,49.22
Amanda Kunze,9.61
Amanda Lueilwitz,41.36
Amani Grady,21.16
Amani Koss,23.439999999999998
Amara Glover,10.92
Amara Torphy,40.480000000000004
Amari Bayer,23.84
Amari Christiansen,18.54
Amari Wyman,33.21
Amaya Lueilwitz,29.169999999999998
Amber DuBuque,34.03
Ambrose Gaylord,66.86
Ambrose Haley,21.21
Ambrose Mueller,44.36
Amelia Cummings,38.05
Amelia White,41.7
Amelia Wunsch,23.65
Amelie Krajcik,15.100000000000001
Amelie Marquardt,42.72
Amelie Sauer,31.69
Amely Larkin,27.96
America Bahringer,21.45
America Hudson,42.63
America Marquardt,14.51
America Morissette,27.21
America Muller,19.78
America O'Hara,25.86
America Schumm,47.92
Americo Hansen,40.44
Americo Heaney,51.69
Americo O'Conner,28.21
Americo Paucek,46.79
Americo Predovic,48.08
Amie Beer,13.75
Amie Cormier,16.69
Amie Schoen,20.37
Amina Little,31.2
Amina Wintheiser,28.72
Amir Botsford,24.339999999999996
Amira Parisian,33.72
Amiya Hane,40.06
Amiya Kutch,16.69
Amiya Legros,20.84
Amiya Nicolas,46.129999999999995
Amos Gleichner,19.63
Amparo Leuschke,47.56
Amparo Schroeder,18.08
Amya Langosh,32.71
Amya Legros,24.58
Amya Swift,34.3
Ana Kulas,58.94
Ana Spencer,19.63
Anabel Sawayn,26.64
Anabel Walker,32.83
Anabelle Mraz,39.83
Anabelle Sauer,11.66
Anahi Jaskolski,47.0
Anahi Rice,16.130000000000003
Anahi Windler,14.44
Anais Heaney,14.65
Anais Littel,16.35
Anais Parisian,20.86
Anastacio Heaney,28.990000000000002
Anastacio King,73.89
Anastacio Kirlin,22.29
Anastacio Sanford,23.509999999999998
Anastasia Green,10.46
Anastasia Mitchell,15.9
Anderson Feest,38.46
Anderson Hills,9.399999999999999
Andre Pacocha,39.019999999999996
Andreane Crooks,51.15
Andreanne Bode,25.19
Andreanne Ortiz,19.83
Andreanne Walsh,24.43
Andres Bartoletti,58.48
Andres Kohler,28.36
Andres Monahan,53.910000000000004
Andrew Feil,6.42
Andrew Johnston,23.14
Andrew Kovacek,30.47
Andrew Kuvalis,43.68
Andrew Senger,29.96
Andy Batz,7.34
Andy Collier,56.620000000000005
Andy Frami,21.34
Andy Tillman,22.22
Angel Barrows,34.92
Angel Considine,39.37
Angel Dietrich,13.28
Angel Koss,42.58
Angel Lesch,30.32
Angel O'Keefe,20.73
Angela Hermann,15.76
Angela Renner,14.01
Angelica Lueilwitz,29.3
Angelica Maggio,19.240000000000002
Angelica Thiel,58.08
Angelina Hauck,44.07
Angelina Hettinger,9.78
Angelina Streich,13.11
Angeline Little,25.810000000000002
Angeline Reichert,36.6
Angeline Russel,18.67
Angeline Schulist,44.51
Angelita Runolfsdottir,47.41
Angelita Rutherford,62.62
Angelita White,32.83
Angelo Abshire,46.89
Angelo Mertz,21.27
Angelo Reinger,90.32
Angie Kreiger,35.19
Angus Ratke,33.65
Anibal Crist,28.439999999999998
Anibal Dietrich,6.39
Anibal Schowalter,30.27
Anibal Wisozk,41.93
Anika Bins,11.879999999999999
Anika Grimes,21.75
Anika Reynolds,50.76
Anissa Bosco,25.77
Anita Gaylord,70.73
Anita O'Hara,41.4
Aniya DuBuque,40.56
Aniya Konopelski,35.379999999999995
Aniya Kuvalis,31.07
Aniyah Dickens,23.17
Anjali Auer,53.230000000000004
Anjali Block,23.32
Anjali Bosco,51.519999999999996
Anjali Conroy,48.14
Anjali Morar,27.11
Anna Kuphal,13.16
Anna O'Reilly,13.95
Anna Wiegand,21.46
Annabel Bailey,48.66
Annabel Gleichner,36.93
Annabel Kuhlman,20.37
Annabel Kunze,27.769999999999996
Annabel Rau,40.34
Annabell Boyle,33.48
Annabell Krajcik,24.15
Annabelle Reichert,18.42
Annabelle Swift,34.09
Annalise Blick,19.96
Annalise Breitenberg,55.22
Annalise Dietrich,23.23
Annalise Gerhold,28.89
Annalise Goldner,20.61
Annalise Lang,39.54
Annamae Fritsch,26.01
Annamae Hane,22.55
Annamae Pfeffer,54.68
Annamae Renner,56.8
Annamae Wuckert,23.82
Annamarie Emmerich,40.57
Anne Berge,37.47
Anne Crist,18.44
Anne Farrell,9.6
Anne Williamson,55.72
Annetta Herman,34.96
Annetta Pfeffer,14.469999999999999
Annetta Von,47.39
Annetta Wehner,22.78
Annette Keeling,54.42
Annette Ritchie,44.260000000000005
Annette Schinner,17.41
Annie Corkery,45.97
Annie Leannon,13.219999999999999
Annie Marks,4.84
Annie McGlynn,49.04
Annie Pouros,24.9
Ansel Keebler,17.19
Ansel Zieme,21.269999999999996
Ansley Bayer,13.79
Ansley Reichert,16.96
Anthony Boyer,10.23
Anthony Morar,39.33
Antoinette Tremblay,31.96
Antoinette Wilderman,38.97
Antoinette Zulauf,9.7
Antone Hessel,20.830000000000002
Antone Mraz,35.63
Antone Olson,31.84
Antone Schumm,18.71
Antonetta Bednar,29.35
Antonetta Stiedemann,15.4
Antonette Fay,15.06
Antonette Gibson,39.63
Antonette Rempel,24.900000000000002
Antonia Bauch,41.33
Antonia Champlin,10.65
Antonia Dietrich,15.290000000000001
Antonietta Brown,24.42
Antonietta Emmerich,14.969999999999999
Antonietta Halvorson,14.51
Antonietta Jaskolski,31.85
Antonietta McDermott,20.28
Antonietta Reichel,15.540000000000001
Antonina Stanton,31.88
Antonina Strosin,34.58
Antonio Moore,29.58
Antwan Aufderhar,32.28
Antwan Harris,22.31
Antwon Roberts,21.36
Antwon Rosenbaum,26.88
Anya Hills,29.53
April Little,28.71
April Ryan,18.509999999999998
Ara Abshire,47.61
Ara O'Keefe,21.87
Ara Smith,54.5
Ara Stanton,75.27
Araceli Feest,24.59
Araceli Thiel,57.17
Aracely Friesen,27.009999999999998
Aracely King,45.8
Aracely Schmidt,36.51
Arch Ankunding,33.07
Arch Bartell,24.85
Arch Bode,20.490000000000002
Arch Friesen,33.58
Arch Homenick,19.189999999999998
Arch Leannon,25.44
Archibald Davis,17.54
Archibald Herman,32.620000000000005
Archibald Kassulke,24.650000000000002
Archibald Labadie,17.6
Archibald Ratke,33.239999999999995
Archibald Torp,14.57
Ardella Monahan,43.410000000000004
Arden Abshire,53.540000000000006
Arden Gaylord,50.769999999999996
Arden Greenholt,21.96
Arden Schneider,16.41
Ardith Goldner,19.64
Ardith Greenfelder,9.75
Ardith Halvorson,31.55
Ardith Harber,36.04
Ardith Langworth,6.75
Ardith McGlynn,35.26
Ardith Weimann,22.54
Ardith Williamson,22.48
Arely Gleichner,26.56
Arely Vandervort,31.91
Arely Zemlak,42.11
Ari Rath,16.7
Ari Smitham,21.48
Ariane Cartwright,32.15
Ariane Upton,35.5
Arianna King,31.52
Arianna Treutel,21.96
Aric Johnston,22.4
Aric Schinner,21.12
Ariel Blanda,25.07
Ariel Doyle,19.45
Ariel Hayes,41.51
Ariel Willms,14.629999999999999
Ariel Zemlak,25.18
Arielle Reichert,32.83
Arielle Wolff,24.28
Arjun Rippin,36.980000000000004
Arjun Ruecker,17.06
Arjun Schulist,47.63
Arlene Baumbach,63.96
Arlene Lynch,35.0
Arlie Kozey,20.95
Arlie Ruecker,46.58
Arlo Hartmann,37.44
Arlo Legros,46.1
Arlo Metz,33.43
Arlo Quitzon,23.66
Arlo Reinger,24.98
Armand Fahey,13.56
Armand Morar,27.15
Armand Price,28.82
Armand Smith,33.36
Armando Crooks,16.77
Armando Donnelly,46.07
Armando King,39.11
Armani Casper,45.730000000000004
Armani Cruickshank,13.68
Armani Jaskolski,45.74
Armani Johns,51.01
Armani Koelpin,12.95
Armani Lakin,24.61
Armani Ortiz,25.29
Arnaldo Koch,53.56
Arne Bode,34.67
Arne Heaney,38.78
Arne Kuhic,31.69
Arno Bruen,15.879999999999999
Arno Buckridge,27.18
Arno Kunde,3.47
Arno Legros,27.78
Arnold Upton,33.4
Arnoldo Ernser,38.57
Arnoldo Kunde,37.83
Arnoldo Labadie,31.93
Arnulfo Champlin,33.81
Arnulfo Collier,17.91
Arnulfo Hane,38.67
Arnulfo Powlowski,19.86
Aron Cummerata,24.630000000000003
Aron Halvorson,45.44
Aron Ledner,22.740000000000002
Aron Mertz,9.85
Aron Wolff,44.45
Art Bechtelar,31.810000000000002
Arthur Hoeger,53.36
Arthur Reynolds,46.120000000000005
Arthur Rodriguez,37.05
Arturo Becker,30.28
Arturo Ferry,1.86
Arturo Rippin,36.88
Arvel Brown,43.43
Arvel Hudson,12.43
Arvel Jast,78.3
Arvel Lubowitz,26.11
Arvel Stehr,28.39
Arvid Bruen,24.88
Arvid Collins,18.16
Arvid Hane,13.83
Arvid Kreiger,35.31
Arvilla Bayer,42.79
Arvilla Dickinson,19.02
Arvilla Schmeler,35.2
Arvilla VonRueden,9.11
Aryanna Collins,37.53
Aryanna Effertz,34.18
Aryanna Krajcik,44.97
Aryanna Sanford,20.68
Asa Carter,28.029999999999998
Asa Hartmann,20.77
Asa Romaguera,20.21
Asa Schulist,17.23
Asa Spencer,13.93
Asha Runolfsson,44.75
Ashlee Buckridge,45.02
Ashlee Gottlieb,17.76
Ashlee Goyette,10.6
Ashlee Johnston,29.88
Ashlee Runte,24.04
Ashleigh Batz,30.42
Ashleigh Bednar,27.83
Ashleigh Leffler,36.660000000000004
Ashley Dooley,38.89
Ashly Beer,21.17
Ashly Cartwright,52.11
Ashly Fay,33.64
Ashly Kuphal,32.63
Ashly Kuvalis,28.14
Ashly Lynch,36.53
Ashly Rohan,71.94
Ashlynn DuBuque,21.44
Ashlynn Pouros,25.03
Ashlynn VonRueden,19.14
Ashlynn Zemlak,54.28
Ashton Cummerata,9.649999999999999
Ashtyn Aufderhar,36.900000000000006
Ashtyn Batz,19.2
Ashtyn Kshlerin,23.04
Ashtyn Langworth,38.1
Ashtyn Schowalter,29.71
Asia Cummings,44.57
Asia Gibson,28.919999999999998
Asia Hoeger,30.06
Asia Lehner,21.02
Asia Thompson,18.82
Assunta Miller,16.2
Assunta Orn,63.27
Astrid Runolfsdottir,43.71
Athena Hills,55.32
Athena Kutch,53.64
Athena Rohan,14.43
Aubree Bailey,35.89
Aubree Ferry,20.05
Aubrey Flatley,57.4
Aubrey Goyette,22.79
Aubrey Graham,7.67
Aubrey Kunze,18.18
Aubrey Wunsch,32.0
Audie Barton,29.93
Audie Buckridge,64.78999999999999
Audie Gusikowski,36.56
Audie Lesch,26.21
Audie Sauer,30.71
Audie Wintheiser,42.35
Audra Hessel,40.15
Audra Swaniawski,30.730000000000004
Audreanne Collier,30.25
Audreanne Dach,16.92
Audreanne Hermann,60.83
Audrey Corwin,67.9
Audrey Lemke,48.25
Audrey Morar,48.29
Audrey Schaefer,17.32
August Crona,25.119999999999997
August Hane,36.56
August Leuschke,36.32
August Lowe,62.86
August Weissnat,34.78
Augusta Volkman,31.45
Augustine Hane,40.09
Augustine Hirthe,48.980000000000004
Augustine Swift,28.26
Augustine Yundt,24.67
Augustus Hane,54.709999999999994
Augustus Renner,10.26
Aurelia Gulgowski,6.96
Aurelia Hand,27.64
Aurelia Kuhlman,44.77
Aurelia Metz,34.45
Aurelia Ritchie,31.87
Aurelie Auer,20.62
Aurelie Cassin,63.41
Aurelie Lemke,1.74
Aurelie Medhurst,17.5
Aurelie Schneider,38.230000000000004
Aurelie Vandervort,17.1
Aurelio Bernhard,55.36
Aurelio Erdman,20.28
Aurelio Hagenes,36.38
Aurelio Hahn,46.64
Aurelio Jacobi,48.11
Aurelio Mohr,25.34
Aurelio Pfannerstill,45.25
Aurore Champlin,22.48
Aurore Harvey,40.6
Aurore Lebsack,32.06
Aurore Wintheiser,58.88
Austen Botsford,35.69
Austen Brakus,44.37
Austen Denesik,35.78
Austen Kulas,8.49
Austin Franecki,15.599999999999998
Austin Spencer,25.51
Austin Wisoky,24.37
Austyn Legros,23.9
Austyn McGlynn,22.11
Austyn Mueller,17.79
Austyn Quitzon,22.419999999999998
Austyn Wilkinson,20.87
Austyn Yost,17.1
Autumn Corkery,37.120000000000005
Autumn Kessler,9.51
Autumn Sporer,9.55
Ava Adams,23.310000000000002
Ava Altenwerth,36.93
Ava Boehm,15.739999999999998
Ava Gusikowski,3.84
Ava Hessel,31.48
Ava Howe,48.6
Ava Smith,41.68
Avery Blanda,35.06
Avery Bradtke,31.060000000000002
Avery Ratke,14.049999999999999
Avery Volkman,27.119999999999997
Avis Heidenreich,6.65
Avis Schoen,56.04
Axel Runolfsdottir,18.07
Ayana Abshire,13.14
Ayana Block,8.9
Ayden Armstrong,17.07
Ayden Cassin,28.61
Ayden Keebler,24.189999999999998
Ayden Osinski,24.580000000000002
Ayden Pacocha,24.55
Ayden Schneider,1.08
Ayden Weissnat,38.01
Ayden Wolff,34.61
Ayla Jacobi,53.769999999999996
Aylin Cassin,29.83
Baby Barrows,70.62
Bailee Bauch,39.92
Bailee Block,47.97
Bailee McCullough,12.34
Bailey Legros,23.3
Bailey Russel,12.86
Bailey Schneider,26.26
Bailey Streich,6.83
Barbara Auer,30.99
Barbara Dickens,40.269999999999996
Barbara Ortiz,11.02
Barney Dietrich,16.68
Barney Schimmel,36.06
Barney Schinner,27.03
Baron Dietrich,39.69
Baron Wolff,10.27
Barrett Bauch,51.269999999999996
Barrett Rice,50.480000000000004
Barry Cartwright,31.099999999999998
Barry Hermiston,10.93
Bart Nikolaus,20.450000000000003
Bart Raynor,28.78
Bart Rodriguez,29.61
Bartholome Graham,17.98
Bartholome Kirlin,20.59
Bartholome Morar,9.55
Bartholome Schroeder,26.1
Bartholome Spencer,4.36
Barton Carroll,21.740000000000002
Barton Feeney,45.03
Barton Feil,51.98
Barton Hodkiewicz,23.5
Barton Kub,28.36
Baylee Baumbach,11.76
Baylee Beatty,29.28
Baylee Steuber,23.89
Baylee Tillman,46.61
